
== syn-h0.001-lr0.002-rate-s1  (5000 epochs)
  end  count  spk  read outs>0 r>.99(1/0) r<.01 rmean  score  right dutymid dutyall eta2(null)   u_mean floor  u>.9  w_mean  w_sd  clamp fanin  drift(1s/0s) x1e3
 4000  8.70  8.33 0.37  54.8  39(17/22)   0  0.901  -5.08 0.112   11    49   0.075(0.016)  0.084 0.193 0.009 -0.0162 0.581 0.001 -0.373 +66.22 (+56.91/+75.53)
 4500  8.73  8.37 0.36  54.6  40(17/23)   0  0.895  -5.31 0.114   14    46   0.078(0.019)  0.086 0.193 0.010 -0.0178 0.580 0.000 -0.409 -30.37 (+20.75/-81.49)
 5000  8.63  8.27 0.36  54.2  39(18/21)   0  0.885  -5.13 0.120   13    47   0.079(0.017)  0.081 0.197 0.010 -0.0195 0.580 0.001 -0.449 -31.60 (-56.95/-6.26)

== syn-h0.03-lr0.002-rate-s1  (5000 epochs)
  end  count  spk  read outs>0 r>.99(1/0) r<.01 rmean  score  right dutymid dutyall eta2(null)   u_mean floor  u>.9  w_mean  w_sd  clamp fanin  drift(1s/0s) x1e3
  500  9.69  8.59 1.09  59.3  48(21/27)   0  0.972  -5.68 0.074    4    56   0.065(0.018)  0.104 0.176 0.015 -0.0149 0.581 0.001 -0.353 +4.52 (+37.54/-28.51)
 1000  9.66  8.59 1.08  59.1  48(21/27)   0  0.968  -6.04 0.074    4    56   0.065(0.017)  0.100 0.185 0.015 -0.0197 0.581 0.001 -0.467 -102.55 (-7.42/-197.68)
 1500  9.63  8.58 1.05  59.0  47(21/26)   0  0.966  -5.68 0.052    5    55   0.065(0.021)  0.098 0.185 0.013 -0.0214 0.581 0.001 -0.508 -35.32 (-65.09/-5.55)
 2000  9.46  8.43 1.03  58.6  46(21/25)   0  0.953  -5.90 0.056    6    54   0.068(0.020)  0.096 0.193 0.012 -0.0226 0.581 0.003 -0.538 -25.07 (+6.16/-56.30)
 2500  9.39  8.36 1.03  58.6  45(19/26)   0  0.956  -5.75 0.070    8    52   0.064(0.018)  0.094 0.196 0.013 -0.0254 0.581 0.001 -0.602 -51.83 (-158.11/+54.45)
 3000  9.33  8.31 1.02  58.4  47(20/27)   0  0.951  -5.67 0.064    7    53   0.064(0.019)  0.095 0.197 0.013 -0.0273 0.580 0.002 -0.647 -38.40 (+3.38/-80.19)
 3500  9.22  8.20 1.01  58.4  45(19/26)   0  0.945  -5.65 0.054    9    51   0.069(0.019)  0.094 0.200 0.013 -0.0301 0.580 0.001 -0.714 -58.00 (-28.22/-87.78)
 4000  9.09  8.09 1.00  58.2  45(22/23)   0  0.944  -5.73 0.060    9    51   0.068(0.018)  0.094 0.207 0.012 -0.0314 0.581 0.001 -0.745 -26.02 (+69.77/-121.80)
 4500  9.09  8.09 0.99  58.1  42(18/24)   0  0.944  -5.58 0.086    7    53   0.069(0.017)  0.092 0.207 0.012 -0.0326 0.581 0.000 -0.774 -21.86 (-5.78/-37.94)
 5000  9.08  8.12 0.96  57.8  45(21/24)   0  0.931  -5.53 0.064    8    52   0.066(0.017)  0.086 0.209 0.011 -0.0342 0.580 0.001 -0.813 -33.86 (-65.48/-2.23)

== syn-h0.03-lr0.002-rate-s2  (5000 epochs)
  end  count  spk  read outs>0 r>.99(1/0) r<.01 rmean  score  right dutymid dutyall eta2(null)   u_mean floor  u>.9  w_mean  w_sd  clamp fanin  drift(1s/0s) x1e3
  500  9.35  8.32 1.03  58.6  41(18/23)   0  0.953  -7.60 0.090    6    54   0.069(0.019)  0.094 0.179 0.013 -0.0221 0.575 0.000 -0.508 -48.57 (-195.09/+97.94)
 1000  9.30  8.31 0.99  58.6  47(22/25)   0  0.950  -6.54 0.096    7    53   0.072(0.018)  0.092 0.183 0.013 -0.0225 0.576 0.000 -0.519 -2.75 (-44.66/+39.16)
 1500  9.22  8.24 0.98  57.9  41(17/24)   0  0.935  -5.94 0.124    9    51   0.076(0.019)  0.088 0.196 0.012 -0.0233 0.577 0.000 -0.536 -3.76 (-124.61/+117.09)
 2000  9.21  8.24 0.97  57.7  41(18/23)   0  0.930  -6.17 0.102   10    50   0.068(0.019)  0.083 0.201 0.010 -0.0234 0.578 0.003 -0.538 +9.77 (+9.85/+9.69)
 2500  9.11  8.15 0.95  57.4  41(17/24)   0  0.919  -5.83 0.124    8    52   0.073(0.019)  0.084 0.211 0.013 -0.0310 0.575 0.001 -0.714 -166.27 (-140.30/-192.23)
 3000  8.96  8.03 0.93  57.2  40(16/24)   0  0.912  -5.87 0.114   11    49   0.069(0.017)  0.080 0.217 0.011 -0.0312 0.576 0.000 -0.718 +6.72 (+53.04/-39.60)
 3500  9.06  8.13 0.94  57.6  41(17/24)   0  0.923  -5.89 0.092   12    48   0.070(0.017)  0.081 0.213 0.011 -0.0297 0.576 0.001 -0.683 +41.73 (+26.30/+57.16)
 4000  9.10  8.17 0.93  57.6  43(19/24)   0  0.923  -5.48 0.120   12    48   0.069(0.016)  0.082 0.208 0.011 -0.0277 0.579 0.000 -0.637 +54.84 (+21.87/+87.81)
 4500  9.26  8.35 0.91  57.3  44(20/24)   0  0.917  -5.50 0.114   11    49   0.065(0.020)  0.078 0.208 0.011 -0.0296 0.579 0.001 -0.681 -27.73 (-11.69/-43.77)
 5000  9.13  8.24 0.89  57.2  43(18/25)   0  0.908  -5.14 0.120   11    49   0.067(0.018)  0.076 0.215 0.010 -0.0312 0.578 0.003 -0.718 -28.06 (-54.55/-1.57)
