
== neu-lr0.002-rate-s1  (5000 epochs)
  end  count  spk  read outs>0 r>.99(1/0) r<.01 rmean  score  right dutymid dutyall eta2(null)   u_mean floor  u>.9  w_mean  w_sd  clamp fanin  drift(1s/0s) x1e3
 3000  8.59  7.89 0.69  57.0  42(20/22)   0  0.935  -8.28 0.106    9    51   0.073(0.016)  0.101 0.180 0.016 -0.0194 0.574 0.000 -0.448 +59.22 (+7.14/+111.29)
 3500  8.60  7.90 0.70  57.0  41(19/22)   0  0.933  -8.09 0.088   10    50   0.079(0.014)  0.100 0.186 0.018 -0.0194 0.574 0.000 -0.448 -36.56 (-22.33/-50.79)
 4000  8.58  7.90 0.68  57.2  40(19/21)   0  0.933  -7.95 0.134   10    50   0.073(0.017)  0.101 0.184 0.017 -0.0194 0.574 0.000 -0.448 -46.97 (+11.40/-105.34)
 4500  8.60  7.91 0.69  57.2  39(19/20)   0  0.935  -7.99 0.114   10    50   0.076(0.019)  0.102 0.185 0.018 -0.0194 0.574 0.000 -0.448 -54.27 (+30.30/-138.84)
 5000  8.57  7.88 0.69  57.1  37(18/19)   0  0.932  -8.10 0.082   10    50   0.079(0.017)  0.100 0.186 0.018 -0.0194 0.574 0.000 -0.448 -122.02 (-41.40/-202.65)

== syn-h0.01-lr0.002-rate-s1  (5000 epochs)
  end  count  spk  read outs>0 r>.99(1/0) r<.01 rmean  score  right dutymid dutyall eta2(null)   u_mean floor  u>.9  w_mean  w_sd  clamp fanin  drift(1s/0s) x1e3
  500  9.10  8.39 0.71  58.3  46(20/26)   0  0.958  -5.80 0.098    7    53   0.073(0.019)  0.105 0.181 0.016 -0.0149 0.582 0.002 -0.353 +3.44 (-62.86/+69.75)
 1000  9.09  8.43 0.66  58.0  46(20/26)   0  0.952  -6.10 0.066    9    51   0.070(0.018)  0.097 0.183 0.015 -0.0152 0.582 0.003 -0.360 +6.10 (-8.31/+20.51)
 1500  9.14  8.51 0.63  57.7  46(21/25)   0  0.949  -5.65 0.078    8    52   0.072(0.018)  0.096 0.178 0.015 -0.0165 0.583 0.001 -0.392 -24.88 (+27.37/-77.13)
 2000  9.11  8.47 0.63  57.8  46(20/26)   0  0.951  -5.66 0.052    8    52   0.072(0.021)  0.094 0.188 0.014 -0.0165 0.583 0.000 -0.391 +13.13 (-3.32/+29.57)
 2500  9.20  8.58 0.62  58.1  44(19/25)   0  0.954  -5.19 0.074    8    52   0.069(0.019)  0.090 0.186 0.012 -0.0159 0.583 0.001 -0.378 +20.00 (+39.88/+0.12)
 3000  9.08  8.47 0.61  57.8  43(18/25)   0  0.952  -5.25 0.064    8    52   0.070(0.020)  0.093 0.185 0.013 -0.0187 0.583 0.001 -0.444 -54.54 (+7.95/-117.02)
 3500  9.07  8.45 0.62  57.9  44(19/25)   0  0.949  -4.85 0.080   10    50   0.076(0.019)  0.092 0.184 0.012 -0.0182 0.584 0.001 -0.432 +18.82 (+36.89/+0.75)
 4000  9.07  8.46 0.62  57.5  46(20/26)   0  0.939  -5.05 0.086    9    51   0.075(0.017)  0.089 0.189 0.012 -0.0184 0.584 0.002 -0.436 +4.40 (+18.67/-9.88)
 4500  9.17  8.57 0.60  57.6  46(20/26)   0  0.950  -5.19 0.102    8    52   0.070(0.017)  0.088 0.186 0.011 -0.0176 0.584 0.001 -0.418 +25.90 (+28.39/+23.41)
 5000  9.17  8.57 0.60  57.5  47(21/26)   0  0.946  -5.33 0.072    7    53   0.074(0.018)  0.090 0.183 0.013 -0.0171 0.585 0.004 -0.405 +18.67 (+54.97/-17.62)

== syn-h0.01-lr0.002-rate-s2  (5000 epochs)
  end  count  spk  read outs>0 r>.99(1/0) r<.01 rmean  score  right dutymid dutyall eta2(null)   u_mean floor  u>.9  w_mean  w_sd  clamp fanin  drift(1s/0s) x1e3
  500  8.57  7.91 0.66  56.6  40(18/22)   0  0.915  -6.96 0.080   10    50   0.076(0.017)  0.096 0.188 0.015 -0.0211 0.576 0.000 -0.486 -20.41 (+38.15/-78.98)
 1000  8.79  8.19 0.60  56.0  42(21/21)   0  0.911  -6.31 0.118    8    52   0.074(0.016)  0.090 0.193 0.012 -0.0200 0.577 0.001 -0.462 +36.11 (+92.66/-20.43)
 1500  8.70  8.12 0.58  55.8  42(21/21)   0  0.904  -6.04 0.128   11    49   0.083(0.018)  0.088 0.200 0.011 -0.0227 0.577 0.000 -0.522 -49.70 (-76.75/-22.64)
 2000  8.65  8.10 0.55  55.3  41(20/21)   0  0.896  -6.57 0.098   12    48   0.074(0.019)  0.081 0.210 0.010 -0.0249 0.576 0.001 -0.574 -39.34 (-74.14/-4.54)
 2500  8.55  8.03 0.52  54.8  39(19/20)   0  0.885  -6.14 0.098   12    48   0.077(0.018)  0.077 0.215 0.008 -0.0296 0.576 0.000 -0.683 -99.69 (-124.77/-74.61)
 3000  8.43  7.90 0.53  53.8  40(21/19)   0  0.861  -6.37 0.102   14    46   0.070(0.018)  0.078 0.218 0.010 -0.0306 0.576 0.001 -0.704 -9.88 (+47.51/-67.28)
 3500  8.39  7.88 0.50  52.8  39(19/20)   0  0.845  -6.77 0.090   16    44   0.076(0.017)  0.073 0.232 0.009 -0.0334 0.575 0.001 -0.769 -52.33 (-112.84/+8.18)
 4000  8.41  7.92 0.48  52.1  40(18/22)   0  0.836  -6.62 0.092   16    44   0.066(0.017)  0.069 0.239 0.009 -0.0366 0.574 0.001 -0.843 -61.02 (-132.43/+10.40)
 4500  8.36  7.88 0.48  52.2  41(19/22)   1  0.841  -6.78 0.092   16    44   0.071(0.017)  0.069 0.240 0.010 -0.0362 0.575 0.003 -0.834 +28.43 (+27.30/+29.57)
 5000  8.36  7.90 0.46  52.2  40(20/20)   0  0.838  -6.70 0.076   17    43   0.076(0.017)  0.065 0.241 0.009 -0.0350 0.577 0.002 -0.805 +40.22 (+110.13/-29.69)
